,product_image,product_description,product_on_offer,product_offer,product_weight,product_price,product_old_price,product_unit_price
49,https://groceries.morrisons.com/productImages/449/449685011_0_150x150.jpg?identifier=473ebb5c4e4c8c1ba6e1c2f05a87f439,Rowntrees Strawberry Ice Lollies292ml,Y,Buy 2 for £3,292ml,£2.00,,68.5p per 100ml
54,https://groceries.morrisons.com/productImages/449/449664011_0_150x150.jpg?identifier=311157ee8a1473cae1790f4b75b7bafc,Morrisons Green Apple & Pink Candyfloss Ice Cream900ml,Y,Buy 2 for £3,900ml,£2.00,,22.2p per 100ml
65,https://groceries.morrisons.com/productImages/452/452290011_0_150x150.jpg?identifier=c785d261ff4e7b84e81bfc38ffa05067,Morrisons Low Calorie High Protein Peanut Butter Ice Cream500ml,Y,"Offer price £2, was £2.50",500ml,£2.00,£2.50,£4.00 per litre
125,https://groceries.morrisons.com/productImages/329/329481011_0_150x150.jpg?identifier=74eb1ae2168bfadf14d1ab8c562c45c3,Morrisons The Best Valencia Orange Lollies 4 Pack292ml,N,,292ml,£2.00,,68.5p per 100ml
140,https://groceries.morrisons.com/productImages/362/362101011_0_150x150.jpg?identifier=dbea4f32ad83b482eb09bf1851bdd5e1,Morrisons The Best Coconut Ice Lollies 4 Pack292ml,N,,292ml,£2.00,,68.5p per 100ml
151,https://groceries.morrisons.com/productImages/362/362102011_0_150x150.jpg?identifier=2f7b302d705e01d66cf9f9758fc2927d,Morrisons The Best Raspberry Lollies 4 Pack292ml,N,,292ml,£2.00,,68.5p per 100ml
167,https://groceries.morrisons.com/productImages/338/338574011_0_150x150.jpg?identifier=3a0034629b8a590c8ff2771455047fbd,Morrisons The Best Madagascan Vanilla Ice Cream 500ml,N,,500ml,£2.85,,57p per 100ml
168,https://groceries.morrisons.com/productImages/338/338568011_0_150x150.jpg?identifier=ff0a95a3e4e011fde5cec14435349ff0,Morrisons The Best Salted Caramel Ice Cream500ml,N,,500ml,£2.85,,57p per 100ml
186,https://groceries.morrisons.com/productImages/409/409247011_0_150x150.jpg?identifier=4a4f702f1d902e1f661b11608b3c4117,Morrisons The Best Strawberry & Clotted Cream500ml,N,,500ml,£2.85,,57p per 100ml
195,https://groceries.morrisons.com/productImages/258/258550011_0_150x150.jpg?identifier=0c155ae176934d40211cb1fa52ccbfc6,Oxo SoftWorks Trigger Ice Cream Scoop,N,,,£8.50,,£8.50 each
