Government Regions,Breed Type,Sex,January,,,February,,,March,,,April,,May,,June,,July,,August,,September,,October,,November,,December,,Totals to Date,,
,Non Dairy,F,"2,390","2,272","2,541","4,152","3,958","4,615","8,549","8,479","8,552","8,034","8,134","5,477","5,324","3,019","2,778","2,584","2,359","2,922","2,788","3,084","2,949","2,759","3,052","2,352","2,467","2,204","2,020","47,526","46,580","15,708"
,,M,"2,250","2,309","2,500","4,092","3,992","4,697","8,795","8,737","8,874","8,279","8,426","5,657","5,637","3,368","3,147","2,708","2,510","2,990","2,788","3,119","2,973","2,869","3,251","2,523","2,537","2,298","2,151","48,948","48,458","16,071"
South West,Dairy,F,"8,833","9,025","9,150","11,341","12,136","12,987","11,271","11,757","12,014","9,199","9,454","8,465","8,607","8,866","8,691","10,603","10,393","13,783","13,683","14,179","13,264","12,251","12,676","11,027","11,085","9,856","9,257","129,674","130,028","34,151"
,,M,"6,968","6,444","6,937","8,890","8,557","10,702","9,470","8,922","10,130","7,738","7,386","7,122","6,837","7,545","6,822","8,923","8,268","10,752","10,913","11,145","10,733","9,265","9,880","8,281","8,701","6,918","7,307","103,017","100,770","27,769"
,Non Dairy,F,"8,177","8,065","8,504","10,469","10,605","11,939","20,580","20,957","22,650","25,338","25,721","19,926","20,645","14,079","13,885","12,551","12,281","11,622","11,546","11,137","10,649","9,867","10,284","8,587","8,947","7,771","7,610","160,104","161,195","43,093"
,,M,"8,356","8,554","8,979","10,591","11,089","12,460","21,231","21,788","23,368","26,317","26,786","20,469","21,921","14,902","14,519","13,427","12,929","12,197","12,059","12,003","11,111","10,166","11,107","8,827","9,574","8,172","8,121","166,658","169,558","44,807"
Wales,Dairy,F,"4,679","4,809","4,991","7,411","7,623","8,797","6,553","7,135","7,167","5,391","5,570","4,545","4,730","4,547","4,617","4,998","5,165","6,428","6,494","6,663","6,384","5,843","6,230","5,296","5,551","4,655","4,974","67,009","69,282","20,955"
,,M,"3,441","3,278","3,915","5,471","5,324","7,188","4,944","5,180","6,125","4,231","4,282","3,826","4,073","3,707","3,843","4,121","4,211","5,002","5,152","5,143","5,315","4,312","4,951","3,992","4,599","3,224","3,962","51,414","54,170","17,228"
,Non Dairy,F,"5,557","5,264","5,408","6,182","6,002","6,792","11,733","12,272","13,126","18,702","19,942","18,686","19,024","13,200","13,227","9,994","10,702","8,561","8,315","7,626","6,962","6,827","6,844","5,333","6,127","5,083","5,601","117,484","120,282","25,326"
,,M,"5,792","5,686","5,642","6,342","6,061","6,966","12,106","12,034","13,548","19,406","20,019","19,561","19,658","13,840","13,735","10,323","10,970","8,931","8,763","8,152","7,414","7,116","7,154","5,455","6,269","5,446","5,450","122,470","123,213","26,156"
