Government Regions,Breed Type,Sex,January,,,February,,,March,,,April,,May,,June,,July,,August,,September,,October,,November,,December,,Totals to Date,,
,, M ,0,0,0,0,0,0,0,0,0,2,0,3,0,0,3,1,0,0,0,0,0,0,1,1,0,0,0,7,4,0
 COLOURED WELSH , Non Dairy , F ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
 CROSS BREED BEEF , Non Dairy , F ,13,28,23,10,11,16,8,19,16,30,29,29,33,14,16,7,15,12,6,8,19,13,19,7,17,15,5,166,217,55
,, M ,12,24,28,12,18,153,13,19,29,29,39,38,25,13,20,2,8,5,9,10,15,12,17,9,16,16,17,171,227,210
 CROSS BREED DAIRY , Dairy , F ,64,87,107,411,438,757,202,235,332,50,54,6,12,10,15,2,7,59,150,39,134,124,141,93,68,17,27,"1,077","1,368","1,196"
,, M ,23,52,32,131,237,282,65,220,285,28,30,2,7,4,13,4,7,41,44,37,34,23,26,23,8,2,10,383,688,599
 DAIRY SHORTHORN , Dairy , F ,94,110,105,125,147,175,166,171,177,130,153,107,114,97,109,102,136,153,134,150,184,112,116,117,128,117,101,"1,470","1,603",457
,, M ,62,74,52,70,63,96,100,79,105,53,84,68,67,66,59,55,77,69,47,81,108,51,63,72,68,79,36,826,825,253
 DAIRY SHORTHORN X , Dairy , F ,66,86,98,138,200,98,95,203,105,115,143,56,112,77,86,56,78,102,106,144,150,121,134,105,86,61,75,"1,136","1,459",301
,, M ,35,62,66,89,86,66,81,101,71,69,89,52,62,45,51,53,56,61,58,71,82,66,59,72,72,61,56,755,834,203
 DANISH RED , Non Dairy , F ,8,7,2,8,7,6,9,8,8,18,6,8,6,6,8,18,11,34,9,12,7,10,6,29,8,9,9,169,92,16
,, M ,5,5,3,8,1,5,7,8,5,11,5,9,9,5,6,20,10,30,9,21,6,6,7,7,2,3,4,132,72,13
 DANISH RED X , Non Dairy , F ,29,30,2,45,28,29,58,22,45,39,21,53,13,60,20,61,42,47,28,42,25,32,30,40,20,24,17,530,296,76
,, M ,21,23,7,56,33,19,40,28,38,35,29,48,19,39,17,45,39,52,29,38,27,31,18,29,19,31,12,465,293,64
 DEVON , Non Dairy , F ,145,99,107,336,299,350,776,851,"1,035",904,947,572,531,351,336,239,236,200,188,191,151,106,115,81,85,49,58,"3,950","3,896","1,492"
,, M ,119,70,117,278,293,350,793,824,958,800,997,549,564,382,339,253,221,212,213,194,150,119,116,85,81,41,60,"3,825","3,928","1,425"
 DEVON X , Non Dairy , F ,136,140,159,183,205,254,310,308,347,380,378,300,380,251,246,239,204,214,184,224,232,176,195,146,162,92,129,"2,651","2,763",760
,, M ,117,159,181,207,213,224,315,359,408,407,392,300,357,248,251,263,204,228,249,190,241,176,200,152,164,86,93,"2,689","2,882",813
 DEXTER , Non Dairy , F ,138,173,180,191,229,255,470,457,438,498,503,461,456,370,422,330,376,300,287,232,235,175,163,131,150,136,112,"3,432","3,563",873
,, M ,145,176,178,198,249,231,457,382,380,521,518,454,524,436,449,363,391,307,270,278,223,178,174,127,177,142,157,"3,606","3,690",789
 DEXTER X , Non Dairy , F ,10,21,12,15,23,10,28,28,27,25,29,20,35,37,33,23,24,13,10,22,18,14,11,7,25,12,10,226,267,49
,, M ,9,19,16,10,27,9,29,33,27,31,41,20,43,30,30,27,23,18,22,29,24,11,16,10,18,11,13,235,309,52
 DWARF ZEBU , Non Dairy , F ,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
,, M ,0,1,0,0,0,2,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,3
 ENGLISH PARK , Non Dairy , F ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0
 FLECKVIEH , Dairy , F ,2,0,6,0,1,3,0,2,1,9,4,7,3,2,8,7,9,5,2,7,9,7,9,7,3,3,0,56,50,10
,, M ,0,0,1,0,0,1,0,1,1,1,1,0,1,6,5,3,1,5,6,4,12,3,8,4,4,3,2,29,41,3
 FLECKVIEH CROSS , Dairy , F ,18,34,41,14,29,62,26,37,58,19,38,18,35,20,64,30,61,47,70,64,52,42,62,48,55,36,44,382,581,161
,, M ,20,39,38,18,28,58,21,30,62,18,34,15,40,28,40,21,59,53,65,46,41,61,51,35,36,36,39,372,502,158
 FRISONA ESPAGNOLA , Dairy , F ,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,3,3,3
,, M ,0,7,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,2,1,1,0,1,0,0,0,0,2,14,0
 FRISONA ESPAGNOLA X , Dairy , F ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,1,0
,, M ,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,3,0
 GALLOWAY , Non Dairy , F ,63,86,43,65,68,68,217,203,236,332,310,293,328,223,244,121,172,166,151,129,115,161,134,100,133,69,84,"1,939","2,028",347
,, M ,48,82,44,72,59,71,199,190,226,306,344,282,361,201,216,127,174,113,145,120,111,155,130,110,118,63,72,"1,796","2,002",341
 GALLOWAY X , Non Dairy , F ,19,13,35,40,21,23,75,70,78,79,105,64,64,32,48,36,56,37,85,28,31,34,37,23,32,15,26,482,588,136
,, M ,21,15,23,24,21,14,79,61,65,108,112,68,64,44,51,36,51,62,94,39,38,36,44,23,31,15,35,555,617,102
 GASCONNE , Non Dairy , F ,0,4,3,10,5,4,9,4,7,6,4,5,8,1,1,1,2,1,0,0,1,0,0,0,2,0,0,33,31,14
,, M ,1,2,4,5,7,2,9,5,13,5,7,11,6,1,0,0,0,0,0,0,0,0,0,0,1,2,1,34,29,19
 GASCONNE X , Non Dairy , F ,1,0,0,1,1,0,4,1,3,2,4,1,3,3,0,0,0,0,0,2,0,0,0,1,1,0,0,15,10,3
,, M ,1,0,0,1,1,0,3,0,2,1,2,2,1,4,0,0,2,0,0,1,0,1,0,0,2,0,0,14,8,2
 GELBVIEH , Non Dairy , F ,5,9,4,5,8,2,17,30,35,27,16,15,28,13,12,13,18,17,4,13,6,1,5,3,2,4,12,133,150,41
,, M ,6,7,4,10,3,5,19,20,33,26,16,19,24,18,13,17,18,15,11,14,2,2,11,4,1,4,7,154,133,42
 GELBVIEH X , Non Dairy , F ,20,19,14,22,14,16,54,67,63,46,95,37,60,45,51,33,46,16,22,16,18,19,16,16,12,8,8,332,428,93
,, M ,16,8,25,27,24,16,67,64,45,50,86,40,51,37,39,32,53,23,26,18,16,19,17,17,13,6,12,352,409,86
 GLOUCESTER , Non Dairy , F ,13,11,9,28,24,12,35,33,29,31,22,29,22,17,18,14,16,12,15,2,10,9,8,4,5,12,12,206,196,50
,, M ,8,13,9,16,18,17,38,29,32,32,31,24,16,12,21,20,14,11,9,5,14,8,3,11,7,8,8,193,183,58
 GLOUCESTER X , Non Dairy , F ,2,6,3,4,6,3,9,5,12,2,5,7,5,18,11,29,2,5,5,10,5,3,1,2,4,4,3,95,58,18
,, M ,0,0,3,1,3,6,5,10,8,4,15,3,4,10,18,16,6,9,9,6,6,1,0,0,4,2,4,57,79,17
 GRONINGER BLAARKOP X , Non Dairy , F ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0
,, M ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 GUERNSEY , Dairy , F ,116,97,82,134,116,107,147,148,125,141,137,138,138,134,130,145,150,180,173,190,180,180,164,143,170,141,103,"1,789","1,706",314
,, M ,46,40,44,39,50,65,57,69,59,54,46,46,44,53,62,88,72,98,82,131,107,95,109,78,94,69,71,854,846,168
 GUERNSEY X , Dairy , F ,13,6,7,17,10,6,26,14,15,14,9,11,10,14,10,7,8,7,5,2,2,9,7,8,8,9,3,137,92,28
,, M ,4,1,3,6,4,10,15,4,8,1,5,4,2,4,2,3,4,8,8,5,9,4,1,6,3,3,1,63,44,21
 HECK , Non Dairy , F ,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,5,2,1
,, M ,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
 HECK CROSS , Non Dairy , F ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
 HEREFORD , Non Dairy , F ,379,328,367,583,588,730,"1,334","1,472","1,708","1,362","1,739","1,044","1,083",725,804,575,602,493,487,594,584,412,496,309,290,300,288,"8,110","8,761","2,805"
,, M ,348,314,352,598,635,751,"1,367","1,466","1,704","1,464","1,769","1,101","1,120",740,886,602,628,487,483,624,617,437,465,363,359,281,306,"8,412","9,048","2,807"
 HEREFORD X , Non Dairy , F ,"1,991","1,971","2,273","2,800","2,728","3,223","4,699","4,600","4,745","4,758","4,763","3,710","4,088","3,091","3,140","2,777","3,022","2,816","2,865","2,715","2,506","2,370","2,574","2,055","2,240","1,922","2,033","35,704","36,530","10,241"
,, M ,"2,126","1,958","2,334","2,849","2,754","3,445","4,819","4,680","4,917","5,006","5,223","3,927","4,306","3,122","3,382","2,907","3,087","3,021","2,967","2,824","2,771","2,393","2,714","2,124","2,354","1,916","2,153","37,034","38,349","10,696"
 HIGHLAND , Non Dairy , F ,91,134,155,205,161,168,492,502,528,691,702,544,549,393,371,243,317,169,135,130,121,82,99,61,68,35,46,"3,136","3,205",851
,, M ,120,118,157,184,151,138,445,447,497,770,701,526,515,364,381,269,280,173,127,118,92,100,99,73,66,35,57,"3,177","3,034",792
 HIGHLAND X , Non Dairy , F ,11,12,14,17,23,19,28,39,66,60,69,72,69,54,60,43,36,33,37,23,23,30,26,10,14,30,13,411,421,99
,, M ,16,13,20,16,22,17,23,32,43,81,74,76,62,48,64,28,45,27,20,21,31,16,21,16,15,36,24,404,423,80
 HOLSTEIN , Dairy , F ,"3,489","3,815","3,622","3,208","3,305","3,561","3,670","3,593","3,561","3,355","3,383","3,450","3,236","3,789","3,571","4,268","4,076","4,708","4,926","4,817","4,331","4,356","4,348","4,239","4,021","4,192","3,823","47,541","46,428","10,744"
,, M ,"2,099","1,944","2,204","1,973","1,946","2,304","2,228","2,099","2,408","2,182","2,219","2,080","2,123","2,284","2,268","2,607","2,645","2,814","2,966","2,766","2,723","2,444","2,690","2,298","2,614","1,981","2,364","27,756","28,601","6,916"
 HOLSTEIN FRIESIAN , Dairy , F ,"20,314","20,574","20,928","19,575","19,887","20,447","20,432","21,466","21,521","19,340","20,037","18,740","19,833","21,143","20,897","25,298","25,505","30,308","30,358","30,998","28,311","26,846","28,392","25,787","25,924","22,871","22,728","281,652","283,912","62,896"
,, M ,"16,988","15,273","16,962","16,683","15,341","17,470","17,935","17,038","18,795","16,565","16,253","16,813","16,411","18,603","17,435","21,579","21,223","24,547","25,149","24,579","23,540","20,872","22,890","19,174","21,043","16,157","18,374","230,495","229,970","53,227"
 HOLSTEIN FRIESIAN X , Dairy , F ,"1,297","1,348","1,559","2,458","2,767","3,607","1,914","2,539","2,659","1,433","1,517","1,204","1,329","1,186","1,336","1,459","1,627","2,108","2,074","2,210","1,998","1,652","1,777","1,377","1,511","1,275","1,348","19,573","21,171","7,825"
,, M ,"1,093","1,051","1,280","2,134","2,119","3,177","1,934","1,939","2,681","1,348","1,376","1,048","1,177","1,036","1,132","1,363","1,526","1,893","1,997","1,819","1,948","1,468","1,721","1,233","1,351","1,054","1,272","17,423","18,609","7,138"
 HOLSTEIN X , Dairy , F ,231,258,275,306,263,298,307,294,298,240,276,243,243,226,303,288,317,325,479,335,450,312,387,287,334,198,315,"3,298","3,919",871
,, M ,162,190,239,223,225,297,192,224,265,199,174,222,220,199,185,254,258,231,355,251,391,201,317,197,262,157,220,"2,488","3,021",801
 IRISH MOILED , Non Dairy , F ,10,3,2,2,4,6,10,16,7,13,14,9,6,9,9,4,4,5,3,6,1,4,5,0,2,1,2,73,69,15
,, M ,5,3,3,1,0,8,14,6,10,26,11,11,11,1,5,7,10,2,6,4,1,4,7,2,4,4,3,81,67,21
 IRISH MOILED X , Non Dairy , F ,3,2,2,1,0,4,2,7,1,7,1,8,4,6,3,1,0,3,2,0,1,3,1,0,0,0,1,34,22,7
,, M ,6,2,0,7,4,0,3,6,2,4,3,8,3,3,3,7,3,6,0,2,1,3,2,1,3,1,1,51,31,2
 JERSEY , Dairy , F ,698,658,653,"1,099","1,111","1,177","1,333","1,273","1,399","1,081",917,762,759,774,733,"1,030",908,"1,346","1,162","1,184","1,156",988,"1,071",875,829,704,625,"11,874","11,202","3,229"
,, M ,128,107,111,289,235,402,301,323,442,249,195,166,163,184,149,221,164,219,278,236,239,192,209,150,155,110,122,"2,445","2,339",955
 JERSEY X , Dairy , F ,453,569,750,"2,797","3,315","3,894","1,933","1,946","2,044",816,842,353,368,249,254,258,209,502,534,589,620,417,452,244,277,179,188,"8,790","9,574","6,688"
,, M ,158,125,257,625,747,"1,156",575,611,662,238,268,95,134,81,85,92,90,177,211,190,220,133,202,103,111,89,84,"2,556","2,888","2,075"
 KERRY , Dairy , F ,0,2,3,1,1,0,2,0,2,1,5,0,1,0,4,1,3,2,1,1,1,0,0,1,0,0,0,9,18,5
,, M ,1,3,4,0,0,1,0,1,1,6,1,3,3,3,4,0,1,2,0,0,1,0,0,1,1,0,0,16,15,6
 KERRY X , Dairy , F ,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1,1,0,0,5,0,0,0,1,0,0,0,2,3,11,1
,, M ,0,0,0,0,0,2,1,2,1,3,1,0,0,0,2,2,0,0,5,0,1,0,0,0,0,0,4,6,15,3
 LIMOUSIN , Non Dairy , F ,"2,016","2,051","1,912","2,207","2,233","2,473","4,471","4,626","4,901","6,558","6,418","5,674","5,681","3,838","3,697","2,854","2,872","2,240","2,062","2,203","1,999","1,970","1,905","1,677","1,842","1,586","1,484","37,294","36,870","9,286"
,, M ,"1,922","2,065","1,975","2,251","2,160","2,456","4,532","4,568","4,803","6,674","6,516","5,578","5,755","3,983","3,856","2,990","2,895","2,140","2,062","2,301","2,032","2,069","1,948","1,670","1,866","1,543","1,472","37,653","37,195","9,234"
 LIMOUSIN X , Non Dairy , F ,"11,560","11,226","11,152","14,069","14,096","16,090","32,585","32,946","34,004","42,638","43,479","35,852","35,509","22,963","22,477","17,820","17,393","15,920","15,095","15,649","13,949","13,376","12,977","11,449","11,606","10,264","9,790","244,145","240,543","61,246"
,, M ,"11,612","11,308","11,297","13,832","13,945","15,835","32,556","32,503","33,724","43,205","44,240","36,995","36,889","24,066","23,076","18,529","17,894","16,236","15,447","16,227","14,411","13,855","13,375","11,415","11,827","10,337","9,912","248,865","244,827","60,856"
 LINCOLN RED , Non Dairy , F ,57,79,103,166,204,215,286,312,311,263,268,155,157,74,88,57,57,41,36,33,23,30,30,19,22,35,13,"1,216","1,289",629
,, M ,63,89,107,174,175,193,291,310,368,294,290,138,116,54,67,50,57,43,32,23,31,30,35,16,20,23,19,"1,199","1,241",668
 LINCOLN RED X , Non Dairy , F ,48,68,58,100,96,98,125,156,190,117,133,89,113,62,64,35,36,52,30,39,25,30,41,29,27,48,42,774,831,346
,, M ,49,68,62,142,81,124,162,136,181,132,106,86,128,65,61,46,39,28,20,45,42,32,74,39,28,47,34,873,817,367
 LONGHORN , Non Dairy , F ,104,91,131,150,135,183,364,384,461,369,488,294,314,186,161,167,192,106,132,84,85,82,77,37,59,51,44,"1,994","2,162",775
,, M ,81,85,78,133,135,164,356,359,442,400,479,314,341,183,171,149,164,118,124,75,105,74,90,58,64,54,45,"1,995","2,162",684
 LONGHORN X , Non Dairy , F ,13,23,21,34,33,38,97,75,98,100,90,97,79,63,66,69,55,51,71,49,38,33,24,20,12,17,19,643,585,157
,, M ,10,27,15,43,29,40,85,74,90,121,73,84,68,65,73,60,56,48,49,41,40,36,28,19,10,22,14,634,541,145
 LUING , Non Dairy , F ,20,16,18,51,44,99,713,655,840,573,727,365,362,129,135,58,81,19,24,22,31,10,22,18,20,14,11,"1,992","2,128",957
,, M ,11,7,12,43,29,96,661,591,821,665,777,342,400,150,121,52,79,28,37,26,35,7,13,18,12,13,10,"2,016","2,111",929
 LUING X , Non Dairy , F ,8,11,26,31,33,52,211,227,245,228,289,135,167,58,78,33,47,29,21,29,37,33,33,18,17,4,10,817,970,323
,, M ,5,17,23,36,25,40,190,210,235,214,274,166,178,46,79,45,34,35,23,24,35,33,33,17,21,8,11,819,940,298
 MAINE ANJOU , Non Dairy , F ,0,0,0,2,1,0,0,1,2,0,0,10,3,6,2,1,1,0,0,0,1,0,1,0,0,0,0,19,10,2
,, M ,1,0,0,0,0,0,1,0,0,0,0,6,4,2,3,1,1,0,0,1,0,0,0,0,1,0,0,12,9,0
 MAINE ANJOU X , Non Dairy , F ,9,22,23,10,12,12,11,26,23,10,5,22,11,4,11,7,8,6,3,21,3,1,8,8,6,4,10,113,125,58
,, M ,11,19,20,18,13,16,9,11,19,11,4,12,5,6,10,7,12,8,5,10,3,1,4,8,10,4,13,105,109,55
 MARCHIGIANA X , Non Dairy , F ,0,2,1,0,1,1,0,6,1,9,11,3,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,16,25,3
,, M ,4,0,1,0,4,2,2,4,2,1,8,5,2,0,4,1,4,1,1,2,0,1,0,1,3,0,0,18,30,5
 MEUSE RHINE ISSEL , Non Dairy , F ,74,72,61,66,83,65,86,109,57,97,50,83,83,75,76,103,93,118,76,118,111,81,105,88,88,98,60,"1,087","1,006",183
,, M ,84,123,62,93,64,79,116,109,80,100,78,96,79,100,78,120,108,121,103,129,101,102,103,86,105,106,84,"1,253","1,135",221
 MEUSE RHINE ISSEL X , Non Dairy , F ,96,86,81,100,56,78,87,119,70,85,90,142,144,115,82,104,76,146,107,89,98,99,92,92,71,79,60,"1,234","1,081",229
,, M ,108,105,114,130,80,76,137,113,113,152,118,170,141,162,107,143,123,151,141,128,149,147,111,110,116,113,82,"1,651","1,386",303
 MONTBELIARDE , Non Dairy , F ,136,121,116,137,116,120,157,141,177,123,145,94,141,114,170,149,176,178,196,247,252,173,175,169,174,140,182,"1,817","1,989",413
,, M ,131,97,128,140,118,100,141,169,158,110,146,98,122,106,161,128,133,161,187,226,224,178,195,156,153,129,126,"1,704","1,831",386
 MONTBELIARDE X , Non Dairy , F ,395,367,435,386,457,511,525,618,643,442,499,468,433,422,462,577,601,615,645,594,530,537,501,440,480,448,402,"5,849","5,995","1,589"
,, M ,395,404,444,423,465,508,598,638,686,474,531,503,467,437,395,617,598,727,682,700,588,574,564,483,501,430,404,"6,361","6,237","1,638"
 MURRAY GREY , Non Dairy , F ,7,4,10,26,22,22,45,26,44,51,58,48,36,22,20,11,19,11,14,12,9,6,9,7,4,3,1,249,222,76
,, M ,6,6,9,22,23,19,21,42,35,61,42,42,37,25,22,14,11,16,8,15,9,0,6,8,6,8,3,238,215,63
 MURRAY GREY X , Non Dairy , F ,11,14,5,7,16,14,23,36,27,48,29,16,13,8,18,12,10,13,9,16,2,15,18,7,7,8,5,184,177,46
,, M ,14,12,5,11,11,13,18,21,25,40,22,15,14,14,13,16,7,18,11,10,8,10,20,9,4,12,4,187,147,43
 NORMANDE , Non Dairy , F ,2,7,4,6,9,3,7,15,12,5,3,0,4,11,10,5,5,0,3,4,1,6,8,2,0,3,8,51,73,19
,, M ,1,0,5,11,7,6,11,11,10,7,5,1,2,10,10,7,9,3,3,3,1,7,2,8,1,4,4,73,55,21
 NORMANDE X , Non Dairy , F ,7,3,5,13,10,16,8,11,18,16,7,7,10,2,1,2,1,5,17,5,3,4,2,5,1,8,2,82,68,39
,, M ,4,5,2,12,4,20,16,23,27,12,6,7,7,2,2,4,6,9,6,9,4,2,1,6,4,5,5,88,73,49
 NORTHERN DAIRY SH , Dairy , F ,0,0,0,1,2,3,7,2,3,4,2,5,2,0,2,0,0,3,0,4,0,0,1,2,1,0,1,26,13,6
,, M ,1,0,0,2,1,3,4,4,5,4,4,0,1,0,2,0,0,2,1,1,2,0,1,2,0,0,1,16,17,8
 NORWEGIAN RED , Non Dairy , F ,2,3,5,2,27,44,3,10,16,4,6,2,1,1,2,4,2,7,7,58,50,15,18,6,4,4,5,108,135,65
,, M ,4,2,2,2,19,20,3,12,21,5,6,3,0,2,0,3,7,10,6,48,49,33,28,9,7,4,1,126,137,43
 NORWEGIAN RED X , Non Dairy , F ,85,87,143,109,162,203,84,102,135,67,68,38,80,32,60,71,120,459,471,310,365,175,240,52,113,63,93,"1,545","1,961",481
,, M ,63,69,118,66,80,193,59,87,134,57,68,29,66,22,62,56,106,410,410,338,377,154,215,58,118,56,84,"1,368","1,742",445
 OLD ENGLISH , Non Dairy , F ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0
,, M ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 OLD ENGLISH X , Non Dairy , F ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,4,0,0
,, M ,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
 PARTHENAIS , Non Dairy , F ,4,2,1,3,4,3,4,9,15,9,7,9,11,9,7,2,6,6,1,4,0,2,2,0,0,2,1,54,50,19
,, M ,5,6,3,3,4,4,10,5,10,12,9,8,8,14,6,1,2,14,0,0,0,1,0,0,5,1,3,69,48,17
 PARTHENAIS X , Non Dairy , F ,19,20,9,32,25,25,80,98,56,85,83,42,81,41,35,37,20,20,13,17,9,20,11,31,31,19,19,443,445,90
,, M ,14,23,15,27,18,30,107,78,65,82,101,48,61,30,41,34,30,19,7,18,4,14,11,33,19,22,17,448,410,110
 PIEMONTESE , Non Dairy , F ,2,2,1,3,2,1,2,4,4,14,7,11,19,2,8,5,4,5,2,8,3,2,2,1,3,15,3,70,59,6
,, M ,0,5,3,3,0,0,3,2,4,12,10,11,12,2,18,3,3,4,2,2,0,1,1,1,3,3,2,45,58,7
 PIEMONTESE X , Non Dairy , F ,18,8,10,42,20,38,86,86,76,80,90,56,53,66,47,23,25,12,9,10,16,43,29,22,44,26,39,484,466,124
,, M ,11,15,5,28,24,29,83,74,54,102,86,68,56,56,44,36,11,15,10,17,16,44,26,31,58,16,24,507,444,88
 PINZGAUER , Non Dairy , M ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
 PINZGAUER X , Non Dairy , F ,2,2,3,0,1,2,0,0,0,2,1,0,7,1,3,0,0,0,0,1,1,1,0,0,0,3,2,10,17,5
,, M ,2,0,2,1,0,3,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,3,0,8,4,5
 RED POLL , Non Dairy , F ,60,60,54,106,73,105,196,204,190,185,266,144,133,82,103,70,79,63,69,51,68,38,37,42,71,48,43,"1,085","1,206",349
,, M ,44,38,61,90,74,104,197,207,157,195,246,152,154,69,90,82,73,55,76,43,51,48,57,43,55,58,44,"1,076","1,165",322
 RED POLL X , Non Dairy , F ,20,23,30,17,25,24,39,55,57,34,69,41,41,39,33,27,36,11,25,13,31,20,21,20,23,26,28,307,410,111
,, M ,5,16,33,27,23,25,49,68,57,34,75,56,57,31,40,22,35,27,28,15,29,17,16,20,18,18,25,321,430,115
 RIGGIT GALLOWAY , Dairy , F ,0,0,4,1,1,1,5,2,2,8,11,4,2,0,5,1,3,6,3,3,2,0,4,0,2,0,0,28,35,7
,, M ,0,0,2,0,1,0,4,0,3,4,9,3,8,4,4,2,3,7,0,3,1,0,10,1,1,0,1,28,38,5
 RIGGITGALLOWAY CROSS , Dairy , F ,1,0,0,0,0,0,0,1,0,1,2,1,2,0,6,1,0,0,4,3,0,0,6,1,1,2,0,10,22,0
,, M ,0,1,1,0,0,0,0,0,1,6,1,0,0,0,2,0,0,3,1,2,0,0,1,0,0,0,0,11,6,2
 ROMAGNOLA , Non Dairy , F ,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
,, M ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,1,0
 ROMAGNOLA X , Non Dairy , F ,0,0,0,2,3,1,13,2,13,9,3,10,13,7,3,1,3,5,3,2,0,1,1,0,3,0,0,50,34,14
,, M ,1,0,0,0,2,2,6,6,9,7,5,14,10,10,4,1,2,11,1,2,1,0,0,0,1,0,0,52,32,11
 ROTEBUNDE X , Non Dairy , F ,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
,, M ,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
 SALERS , Non Dairy , F ,55,48,80,61,88,108,212,242,226,268,398,296,341,166,344,145,141,152,131,93,70,55,36,64,45,53,65,"1,620","1,949",414
,, M ,71,64,72,79,120,92,208,243,212,312,346,314,334,197,338,149,139,142,119,105,94,64,48,71,57,52,64,"1,764","1,966",376
 SALERS X , Non Dairy , F ,203,267,292,410,324,496,"1,023",897,"1,141","1,281","1,443","1,026",993,633,688,420,423,373,404,456,466,411,404,253,303,217,208,"6,706","6,820","1,929"
,, M ,220,254,273,410,345,475,999,952,"1,073","1,233","1,500","1,002","1,021",580,617,380,394,399,400,454,441,399,368,248,326,206,242,"6,530","6,860","1,821"
 SHETLAND , Non Dairy , F ,6,2,2,8,9,12,48,47,23,28,35,22,29,27,27,19,14,16,15,14,5,15,5,5,5,3,6,211,199,37
,, M ,6,10,5,18,6,12,43,38,47,34,51,26,25,27,26,15,19,11,11,8,2,9,11,5,5,1,2,203,206,64
 SHETLAND X , Non Dairy , F ,8,7,7,15,8,7,17,16,8,25,8,21,9,7,11,8,8,6,5,2,6,1,5,5,2,4,3,119,88,22
,, M ,4,9,7,6,3,4,8,14,11,19,3,24,5,6,9,7,6,11,6,2,4,0,5,0,3,1,0,88,67,22
 SHORTHORN , Non Dairy , F ,99,104,113,130,106,168,202,180,214,199,223,209,292,196,136,155,177,188,142,188,143,137,147,117,127,113,103,"1,933","1,880",495
,, M ,113,129,142,145,129,203,247,187,241,214,248,233,270,181,206,206,198,227,202,233,229,148,188,133,163,114,138,"2,194","2,287",586
 SHORTHORN X , Non Dairy , F ,186,192,198,307,271,380,689,619,840,894,947,716,676,444,461,426,359,284,344,273,378,246,235,185,218,174,188,"4,824","4,888","1,418"
,, M ,211,181,227,347,349,346,676,656,900,963,949,768,730,475,497,378,415,312,362,366,383,308,375,199,214,193,211,"5,196","5,322","1,473"
 SIMMENTAL , Non Dairy , F ,643,625,635,926,925,976,"2,025","2,099","2,184","2,196","2,220","1,458","1,580",961,993,679,741,729,679,644,672,533,605,490,565,500,409,"11,784","12,113","3,795"
,, M ,641,663,656,908,900,"1,001","2,003","2,253","2,157","2,241","2,329","1,472","1,616","1,017",978,764,778,676,640,703,756,610,641,517,565,458,441,"12,010","12,560","3,814"
 SIMMENTAL X , Non Dairy , F ,"3,424","3,389","3,279","4,861","5,001","5,353","12,317","12,281","12,876","13,714","14,677","10,352","10,618","6,321","6,126","4,938","5,032","4,751","4,398","4,762","4,367","4,270","4,281","3,461","3,807","3,103","2,999","76,274","76,976","21,508"
